address,category,city,customer_company,shippers_company,customer,country,order_date,order_id,phone,postal_code,product,state_province,discount,freight,quantity,qunatity_per_unit,unit_cost,unit_price,unit_price_products,units_in_stock,unit_on_order,sales,profit,city_and_country
Berliner Platz 43,Овощи,Мюнхен,Мюнхенские традиции,ТрансАвтоГруз,Dieter K?ln,Австрия,2003-11-20,10337,089-0877310,80805,Перец болгарский,,0.0,76.43,25,30,8.96,12.03,11.8,14,0,300.75,76.75,"Мюнхен, Австрия"
Berliner Platz 43,Кондитерские изделия,Мюнхен,Мюнхенские традиции,ТрансАвтоГруз,Dieter K?ln,Англия,2003-11-20,10337,089-0877310,80805,Пирожное Восточное,,0.0,76.43,24,1,26.13,33.55,31.23,15,0,805.2,178.08,"Мюнхен, Англия"
Berliner Platz 43,Мясо/Птица,Мюнхен,Мюнхенские традиции,ТрансАвтоГруз,Dieter K?ln,Аргентина,2003-11-20,10337,089-0877310,80805,Индейка,,0.0,76.43,40,100,7.43,9.0,9.0,61,0,360.0,62.8,"Мюнхен, Аргентина"
Berliner Platz 43,Приправы,Мюнхен,Мюнхенские традиции,ТрансАвтоГруз,Dieter K?ln,Бельгия,2003-11-20,10337,089-0877310,80805,Тмин,,0.0,76.43,20,20,6.45,7.99,8.0,112,0,159.8,30.8,"Мюнхен, Бельгия"
Berliner Platz 43,Приправы,Мюнхен,Мюнхенские традиции,ТрансАвтоГруз,Dieter K?ln,Бразилия,2003-11-20,10337,089-0877310,80805,Хмели-Сунели,,0.0,76.43,28,21,3.43,3.9,4.0,11,50,109.2,13.16,"Мюнхен, Бразилия"
2817 Milton Dr.,Фрукты,Альбукерке,Фуд Стайл,ТрансАвтоГруз,Malcolm X,Венесуэла,2003-12-18,10262,(505) 555-5939,87110,Яблоко,New Mexico,0.2,33.19,12,100,4.72,5.58,6.0,0,0,66.96,10.32,"Альбукерке, Венесуэла"
2817 Milton Dr.,Мясо/Птица,Альбукерке,Фуд Стайл,ТрансАвтоГруз,Malcolm X,Германия,2003-12-18,10262,(505) 555-5939,87110,Свинина,New Mexico,0.0,33.19,2,15,34.17,34.55,38.0,21,10,69.1,0.76,"Альбукерке, Германия"
2817 Milton Dr.,Крупы,Альбукерке,Фуд Стайл,ТрансАвтоГруз,Malcolm X,Дания,2003-12-18,10262,(505) 555-5939,87110,Гречневая крупа,New Mexico,0.0,33.19,15,40,33.11,38.3,40.0,15,0,574.5,77.85,"Альбукерке, Дания"
ul. Filtrowa 68,Фрукты,Варшава,Продукты для Панов и Паночек,ТрансАвтоГруз,Boniekk Wallessa,Ирландия,2004-01-01,10374,(26) 642-7012,01-012,Груша,,0.0,45.53,30,20,7.53,9.11,8.5,0,70,273.3,47.4,"Варшава, Ирландия"
ul. Filtrowa 68,Приправы,Варшава,Продукты для Панов и Паночек,ТрансАвтоГруз,Boniekk Wallessa,Испания,2004-01-01,10374,(26) 642-7012,01-012,Бадьян,,0.0,45.53,15,20,37.17,51.57,48.25,62,0,773.55,216.0,"Варшава, Испания"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Кондитерские изделия,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Италия,2004-01-15,10357,(9) 331-6954,3508,Пирожное Восточное,,0.0,65.97,16,1,26.13,29.44,31.23,15,0,471.04,52.96,"Баргусимето, Италия"
